Date : 2024-02-14 14:47:53
Directory : /Users/stmoerman/Developer/Business/Bakklog/cal.com
Total : 4223 files,  291311 codes, 14860 comments, 32376 blanks, all 338547 lines

Languages
+-----------------------+------------+------------+------------+------------+------------+
| language              | files      | code       | comment    | blank      | total      |
| .github/actions/cache-db                                                                                                                                                   |          1 |         43 |          0 |          1 |         44 |
| .github/actions/dangerous-git-checkout                                                                                                                                     |          1 |         10 |          0 |          1 |         11 |
| .github/actions/yarn-install                                                                                                                                               |          1 |         49 |         16 |          7 |         72 |
| .github/actions/yarn-playwright-install                                                                                                                                    |          1 |         19 |          0 |          1 |         20 |
| .github/matchers                                                                                                                                                           |          1 |         18 |          0 |          1 |         19 |
| .github/workflows                                                                                                                                                          |         30 |      1,207 |         65 |        127 |      1,399 |
| .snaplet                                                                                                                                                                   |          3 |        263 |          4 |         10 |        277 |
| .yarn                                                                                                                                                                      |          7 |        993 |        410 |        103 |      1,506 |
| .yarn/patches                                                                                                                                                              |          4 |         56 |          0 |          5 |         61 |
| .yarn/plugins                                                                                                                                                              |          2 |        373 |        144 |         54 |        571 |
| .yarn/plugins/@yarnpkg                                                                                                                                                     |          2 |        373 |        144 |         54 |        571 |
| .yarn/releases                                                                                                                                                             |          1 |        564 |        266 |         44 |        874 |
| __checks__                                                                                                                                                                 |          4 |        123 |         22 |         35 |        180 |
| apps                                                                                                                                                                       |      1,289 |    125,152 |      6,433 |     10,254 |    141,839 |
| apps/ai                                                                                                                                                                    |         28 |      1,172 |         82 |        217 |      1,471 |
| apps/ai (Files)                                                                                                                                                            |          5 |        113 |          5 |         36 |        154 |
| apps/ai/src                                                                                                                                                                |         23 |      1,059 |         77 |        181 |      1,317 |
| apps/ai/src (Files)                                                                                                                                                        |          1 |         30 |         14 |          4 |         48 |
| apps/ai/src/app                                                                                                                                                            |          3 |        222 |         18 |         48 |        288 |
| apps/ai/src/app/api                                                                                                                                                        |          3 |        222 |         18 |         48 |        288 |
| apps/ai/src/app/api/agent                                                                                                                                                  |          1 |         38 |          6 |         12 |         56 |
| apps/ai/src/app/api/onboard                                                                                                                                                |          1 |         38 |          0 |          7 |         45 |
| apps/ai/src/app/api/receive                                                                                                                                                |          1 |        146 |         12 |         29 |        187 |
| apps/ai/src/tools                                                                                                                                                          |          7 |        502 |         25 |         87 |        614 |
| apps/ai/src/types                                                                                                                                                          |          5 |         80 |          1 |          8 |         89 |
| apps/ai/src/utils                                                                                                                                                          |          7 |        225 |         19 |         34 |        278 |
| apps/api                                                                                                                                                                   |        198 |      5,331 |      3,845 |      1,275 |     10,451 |
| apps/api (Files)                                                                                                                                                           |         12 |        326 |         12 |        106 |        444 |
| apps/api/lib                                                                                                                                                               |         42 |      1,256 |        123 |        230 |      1,609 |
| apps/api/lib (Files)                                                                                                                                                       |          2 |        149 |         21 |         20 |        190 |
| apps/api/lib/helpers                                                                                                                                                       |         10 |        218 |         33 |         38 |        289 |
| apps/api/lib/utils                                                                                                                                                         |          4 |         24 |          2 |          9 |         35 |
| apps/api/lib/validations                                                                                                                                                   |         26 |        865 |         67 |        163 |      1,095 |
| apps/api/lib/validations (Files)                                                                                                                                           |         16 |        757 |         47 |        125 |        929 |
| apps/api/lib/validations/shared                                                                                                                                            |         10 |        108 |         20 |         38 |        166 |
| apps/api/pages                                                                                                                                                             |        134 |      3,312 |      3,688 |        824 |      7,824 |
| apps/api/pages/api                                                                                                                                                         |        134 |      3,312 |      3,688 |        824 |      7,824 |
| apps/api/pages/api (Files)                                                                                                                                                 |          2 |        149 |          0 |          6 |        155 |
| apps/api/pages/api/api-keys                                                                                                                                                |          8 |        133 |          6 |         43 |        182 |
| apps/api/pages/api/api-keys (Files)                                                                                                                                        |          3 |         74 |          4 |         19 |         97 |
| apps/api/pages/api/api-keys/[id]                                                                                                                                           |          5 |         59 |          2 |         24 |         85 |
| apps/api/pages/api/attendees                                                                                                                                               |          8 |        123 |        175 |         43 |        341 |
| apps/api/pages/api/attendees (Files)                                                                                                                                       |          3 |         50 |         69 |         16 |        135 |
| apps/api/pages/api/attendees/[id]                                                                                                                                          |          5 |         73 |        106 |         27 |        206 |
| apps/api/pages/api/availabilities                                                                                                                                          |          7 |        107 |        192 |         33 |        332 |
| apps/api/pages/api/availabilities (Files)                                                                                                                                  |          2 |         39 |         62 |          9 |        110 |
| apps/api/pages/api/availabilities/[id]                                                                                                                                     |          5 |         68 |        130 |         24 |        222 |
| apps/api/pages/api/availability                                                                                                                                            |          2 |         89 |        162 |          9 |        260 |
| apps/api/pages/api/booking-references                                                                                                                                      |          8 |        119 |        185 |         40 |        344 |
| apps/api/pages/api/booking-references (Files)                                                                                                                              |          3 |         47 |         75 |         15 |        137 |
| apps/api/pages/api/booking-references/[id]                                                                                                                                 |          5 |         72 |        110 |         25 |        207 |
| apps/api/pages/api/bookings                                                                                                                                                |          9 |        241 |        538 |         59 |        838 |
| apps/api/pages/api/bookings (Files)                                                                                                                                        |          3 |        122 |        309 |         22 |        453 |
| apps/api/pages/api/bookings/[id]                                                                                                                                           |          6 |        119 |        229 |         37 |        385 |
| apps/api/pages/api/custom-inputs                                                                                                                                           |          8 |        107 |        218 |         41 |        366 |
| apps/api/pages/api/custom-inputs (Files)                                                                                                                                   |          3 |         44 |         93 |         16 |        153 |
| apps/api/pages/api/custom-inputs/[id]                                                                                                                                      |          5 |         63 |        125 |         25 |        213 |
| apps/api/pages/api/destination-calendars                                                                                                                                   |          8 |        349 |        244 |         75 |        668 |
| apps/api/pages/api/destination-calendars (Files)                                                                                                                           |          3 |        107 |         76 |         29 |        212 |
| apps/api/pages/api/destination-calendars/[id]                                                                                                                              |          5 |        242 |        168 |         46 |        456 |
| apps/api/pages/api/event-types                                                                                                                                             |         13 |        449 |        573 |         90 |      1,112 |
| apps/api/pages/api/event-types (Files)                                                                                                                                     |          3 |        161 |        293 |         30 |        484 |
| apps/api/pages/api/event-types/[id]                                                                                                                                        |          5 |        150 |        258 |         36 |        444 |
| apps/api/pages/api/event-types/_utils                                                                                                                                      |          5 |        138 |         22 |         24 |        184 |
| apps/api/pages/api/invites                                                                                                                                                 |          2 |         68 |          2 |         13 |         83 |
| apps/api/pages/api/me                                                                                                                                                      |          2 |         15 |          0 |          8 |         23 |
| apps/api/pages/api/memberships                                                                                                                                             |          8 |        207 |        141 |         57 |        405 |
| apps/api/pages/api/memberships (Files)                                                                                                                                     |          3 |         78 |         44 |         20 |        142 |
| apps/api/pages/api/memberships/[id]                                                                                                                                        |          5 |        129 |         97 |         37 |        263 |
| apps/api/pages/api/payments                                                                                                                                                |          2 |         60 |         44 |          7 |        111 |
| apps/api/pages/api/schedules                                                                                                                                               |          8 |        138 |        305 |         53 |        496 |
| apps/api/pages/api/schedules (Files)                                                                                                                                       |          3 |         67 |        135 |         23 |        225 |
| apps/api/pages/api/schedules/[id]                                                                                                                                          |          5 |         71 |        170 |         30 |        271 |
| apps/api/pages/api/selected-calendars                                                                                                                                      |          8 |        123 |        189 |         47 |        359 |
| apps/api/pages/api/selected-calendars (Files)                                                                                                                              |          3 |         53 |         64 |         19 |        136 |
| apps/api/pages/api/selected-calendars/[id]                                                                                                                                 |          5 |         70 |        125 |         28 |        223 |
| apps/api/pages/api/slots                                                                                                                                                   |          3 |        142 |          2 |         20 |        164 |
| apps/api/pages/api/teams                                                                                                                                                   |         12 |        406 |        236 |         86 |        728 |
| apps/api/pages/api/teams (Files)                                                                                                                                           |          3 |        145 |         96 |         29 |        270 |
| apps/api/pages/api/teams/[teamId]                                                                                                                                          |          9 |        261 |        140 |         57 |        458 |
| apps/api/pages/api/teams/[teamId] (Files)                                                                                                                                  |          6 |        213 |        110 |         42 |        365 |
| apps/api/pages/api/teams/[teamId]/availability                                                                                                                             |          1 |          7 |          0 |          3 |         10 |
| apps/api/pages/api/teams/[teamId]/event-types                                                                                                                              |          2 |         41 |         30 |         12 |         83 |
| apps/api/pages/api/users                                                                                                                                                   |          8 |        134 |        269 |         42 |        445 |
| apps/api/pages/api/users (Files)                                                                                                                                           |          3 |         50 |        117 |         15 |        182 |
| apps/api/pages/api/users/[userId]                                                                                                                                          |          5 |         84 |        152 |         27 |        263 |
| apps/api/pages/api/users/[userId] (Files)                                                                                                                                  |          4 |         77 |        152 |         24 |        253 |
| apps/api/pages/api/users/[userId]/availability                                                                                                                             |          1 |          7 |          0 |          3 |         10 |
| apps/api/pages/api/webhooks                                                                                                                                                |          8 |        153 |        207 |         52 |        412 |
| apps/api/pages/api/webhooks (Files)                                                                                                                                        |          3 |         69 |         84 |         22 |        175 |
| apps/api/pages/api/webhooks/[id]                                                                                                                                           |          5 |         84 |        123 |         30 |        237 |
| apps/api/scripts                                                                                                                                                           |          1 |         39 |         12 |         16 |         67 |
| apps/api/test                                                                                                                                                              |          9 |        398 |         10 |         99 |        507 |
| apps/api/test (Files)                                                                                                                                                      |          4 |         34 |          7 |         11 |         52 |
| apps/api/test/lib                                                                                                                                                          |          5 |        364 |          3 |         88 |        455 |
| apps/api/test/lib/bookings                                                                                                                                                 |          1 |        229 |          1 |         39 |        269 |
| apps/api/test/lib/middleware                                                                                                                                               |          4 |        135 |          2 |         49 |        186 |
| apps/platform                                                                                                                                                              |          1 |          1 |          0 |          1 |          2 |
| apps/storybook                                                                                                                                                             |         21 |        708 |         50 |        117 |        875 |
| apps/storybook (Files)                                                                                                                                                     |          7 |        142 |         15 |         13 |        170 |
| apps/storybook/.storybook                                                                                                                                                  |          6 |        190 |          6 |         36 |        232 |
| apps/storybook/components                                                                                                                                                  |          6 |        150 |          7 |         17 |        174 |
| apps/storybook/styles                                                                                                                                                      |          2 |        226 |         22 |         51 |        299 |
| apps/swagger                                                                                                                                                               |          8 |        388 |        155 |         42 |        585 |
| apps/swagger (Files)                                                                                                                                                       |          4 |         66 |          4 |         19 |         89 |
| apps/swagger/lib                                                                                                                                                           |          1 |        192 |        151 |         11 |        354 |
| apps/swagger/pages                                                                                                                                                         |          2 |         30 |          0 |          8 |         38 |
| apps/swagger/styles                                                                                                                                                        |          1 |        100 |          0 |          4 |        104 |
| apps/web                                                                                                                                                                   |      1,033 |    117,552 |      2,301 |      8,602 |    128,455 |
| apps/web (Files)                                                                                                                                                           |         16 |      1,719 |         75 |        106 |      1,900 |
| apps/web/abTest                                                                                                                                                            |          2 |         68 |          1 |         21 |         90 |
| apps/web/app                                                                                                                                                               |        144 |      2,037 |         46 |        680 |      2,763 |
| apps/web/app (Files)                                                                                                                                                       |         10 |        329 |         18 |         89 |        436 |
| apps/web/app/_trpc                                                                                                                                                         |          5 |        114 |         13 |         21 |        148 |
| apps/web/app/future                                                                                                                                                        |        129 |      1,594 |         15 |        570 |      2,179 |
| apps/web/app/future/[user]                                                                                                                                                 |          4 |         81 |          0 |         25 |        106 |
| apps/web/app/future/[user] (Files)                                                                                                                                         |          1 |         27 |          0 |          7 |         34 |
| apps/web/app/future/[user]/[type]                                                                                                                                          |          2 |         46 |          0 |         13 |         59 |
| apps/web/app/future/[user]/[type] (Files)                                                                                                                                  |          1 |         38 |          0 |          8 |         46 |
| apps/web/app/future/[user]/[type]/embed                                                                                                                                    |          1 |          8 |          0 |          5 |         13 |
| apps/web/app/future/[user]/embed                                                                                                                                           |          1 |          8 |          0 |          5 |         13 |
| apps/web/app/future/apps                                                                                                                                                   |          7 |        284 |          9 |         77 |        370 |
| apps/web/app/future/apps (Files)                                                                                                                                           |          1 |         14 |          0 |          5 |         19 |
| apps/web/app/future/apps/[slug]                                                                                                                                            |          3 |        212 |          8 |         52 |        272 |
| apps/web/app/future/apps/[slug] (Files)                                                                                                                                    |          1 |         41 |          1 |         10 |         52 |
| apps/web/app/future/apps/[slug]/[...pages]                                                                                                                                 |          1 |        155 |          7 |         36 |        198 |
| apps/web/app/future/apps/[slug]/setup                                                                                                                                      |          1 |         16 |          0 |          6 |         22 |
| apps/web/app/future/apps/categories                                                                                                                                        |          2 |         44 |          1 |         14 |         59 |
| apps/web/app/future/apps/categories (Files)                                                                                                                                |          1 |         13 |          0 |          5 |         18 |
| apps/web/app/future/apps/categories/[category]                                                                                                                             |          1 |         31 |          1 |          9 |         41 |
| apps/web/app/future/apps/installed                                                                                                                                         |          1 |         14 |          0 |          6 |         20 |
| apps/web/app/future/apps/installed/[category]                                                                                                                              |          1 |         14 |          0 |          6 |         20 |
| apps/web/app/future/auth                                                                                                                                                   |         10 |        116 |          1 |         34 |        151 |
| apps/web/app/future/auth/forgot-password                                                                                                                                   |          2 |         32 |          0 |          8 |         40 |
| apps/web/app/future/auth/forgot-password (Files)                                                                                                                           |          1 |         16 |          0 |          4 |         20 |
| apps/web/app/future/auth/forgot-password/[id]                                                                                                                              |          1 |         16 |          0 |          4 |         20 |
| apps/web/app/future/auth/login                                                                                                                                             |          1 |         18 |          0 |          5 |         23 |
| apps/web/app/future/auth/logout                                                                                                                                            |          1 |          5 |          0 |          3 |          8 |
| apps/web/app/future/auth/setup                                                                                                                                             |          1 |         10 |          0 |          3 |         13 |
| apps/web/app/future/auth/signin                                                                                                                                            |          1 |         10 |          1 |          3 |         14 |
| apps/web/app/future/auth/sso                                                                                                                                               |          2 |         19 |          0 |          6 |         25 |
| apps/web/app/future/auth/sso/[provider]                                                                                                                                    |          1 |         10 |          0 |          3 |         13 |
| apps/web/app/future/auth/sso/direct                                                                                                                                        |          1 |          9 |          0 |          3 |         12 |
| apps/web/app/future/auth/verify                                                                                                                                            |          1 |          9 |          0 |          3 |         12 |
| apps/web/app/future/auth/verify-email                                                                                                                                      |          1 |         13 |          0 |          3 |         16 |
| apps/web/app/future/booking                                                                                                                                                |          2 |         38 |          0 |         13 |         51 |
| apps/web/app/future/booking/[uid]                                                                                                                                          |          2 |         38 |          0 |         13 |         51 |
| apps/web/app/future/booking/[uid] (Files)                                                                                                                                  |          1 |         30 |          0 |          8 |         38 |
| apps/web/app/future/booking/[uid]/embed                                                                                                                                    |          1 |          8 |          0 |          5 |         13 |
| apps/web/app/future/bookings                                                                                                                                               |          1 |         20 |          0 |          8 |         28 |
| apps/web/app/future/bookings/[status]                                                                                                                                      |          1 |         20 |          0 |          8 |         28 |
| apps/web/app/future/connect-and-join                                                                                                                                       |          1 |          3 |          0 |          2 |          5 |
| apps/web/app/future/d                                                                                                                                                      |          1 |         32 |          0 |          5 |         37 |
| apps/web/app/future/d/[link]                                                                                                                                               |          1 |         32 |          0 |          5 |         37 |
| apps/web/app/future/d/[link]/[slug]                                                                                                                                        |          1 |         32 |          0 |          5 |         37 |
| apps/web/app/future/enterprise                                                                                                                                             |          1 |         10 |          0 |          5 |         15 |
| apps/web/app/future/event-types                                                                                                                                            |          2 |         34 |          0 |         12 |         46 |
| apps/web/app/future/event-types (Files)                                                                                                                                    |          1 |          9 |          0 |          4 |         13 |
| apps/web/app/future/event-types/[type]                                                                                                                                     |          1 |         25 |          0 |          8 |         33 |
| apps/web/app/future/getting-started                                                                                                                                        |          1 |          5 |          0 |          3 |          8 |
| apps/web/app/future/getting-started/[[...step]]                                                                                                                            |          1 |          5 |          0 |          3 |          8 |
| apps/web/app/future/insights                                                                                                                                               |          1 |         13 |          0 |          5 |         18 |
| apps/web/app/future/maintenance                                                                                                                                            |          1 |         10 |          0 |          4 |         14 |
| apps/web/app/future/more                                                                                                                                                   |          1 |          3 |          0 |          2 |          5 |
| apps/web/app/future/org                                                                                                                                                    |          8 |        166 |          0 |         40 |        206 |
| apps/web/app/future/org/[orgSlug]                                                                                                                                          |          8 |        166 |          0 |         40 |        206 |
| apps/web/app/future/org/[orgSlug] (Files)                                                                                                                                  |          1 |         32 |          0 |          6 |         38 |
| apps/web/app/future/org/[orgSlug]/[user]                                                                                                                                   |          4 |         28 |          0 |         15 |         43 |
